,Asin,EAN,Product Title,Image,Stock Quantity,Price,Manifest No,Invoice No,Invoice Date
0,B09FLFS8QC,619185936877.0,"RISWOND Home Motion Sensor Alarm System, 125dB, Garden Shed Alarm with Siren, Wireless Infrared Motion Detector, Van, Home Security",https://m.media-amazon.com/images/I/61jMflyfliL.jpg,1,2.86,LPNWE194529470,JL189096,2023-11-08
1,B0B31CLWYZ,601549453458.0,"Palifel Waterproof Bluetooth Speaker, P1 Wireless Outdoor 20W Portable Speakers with Deep Bass and Loud Sound, Bluetooth 5.3, IPX6 Waterproof, 20H Playtime, True Wireless Stereo Pairing, Built in mic",https://m.media-amazon.com/images/I/61n4pwAIntL.jpg,1,1.55,LPNWE133432338,JL189096,2023-11-08
2,B093FV14WW,767720830361.0,"BARISC 100pcs Hippie Stickers for Laptop Water Bottles Computer Keyboard Cellphone Case Journey Luggage,Vinyl Waterproof Hippie Decals for Men Women Boys Girls Teens Unisex Adults",https://m.media-amazon.com/images/I/719g2RFTTXL.jpg,3,0.26,spL1mI926iP,JL189096,2023-11-08
3,B0B1LP8X9N,767720832341.0,"Serhuque 50pcs Astronaut Stickers for Water Bottles Scrapbooking Laptop Computer Keyboard Skateboard,Vinyl Alien Stickers for Kids Teens Amateur Astronomer,Waterproof",https://m.media-amazon.com/images/I/71rCTivnWVL.jpg,2,0.26,spL1mI926iP,JL189096,2023-11-08
4,B09LS895C6,6970092502468.0,"imuto USB C Charger Plug 90W Dual Type C Port GaN Fast Wall Power Adapter also Supports 20W for MacBook Pro/Air, New iPad Pro 12.9/11 inch, iPhone 14 13 12 Pro, Pixel 6, Galaxy S22, Dell XPS Lenovo",https://m.media-amazon.com/images/I/618Z1YL0Y3L.jpg,1,5.05,LPNWE168269499,JL189096,2023-11-08
5,B0986PM7X1,,"DEKSMO Wireless Power Bank 10000mAh Fast Charging,Wireless Magnetic Portable Charger USB C PD 22.5W, 20W Mini Slim Phones Battery Pack for iPhone 13/12/11/10 Pro Max/Mag-Safe/Samsung",https://m.media-amazon.com/images/I/614r+fn2M2L.jpg,1,5.0,LPNWE118386785,JL189096,2023-11-08
6,B0BZCKSZQ2,,"IFECCO Bone Conduction Headphones Bluetooth 5.3 - IP68 Waterproof Swimming Sport Wireless Headphones,Open Ear Headphones with Mic Built-in 32G Mp3 Player for Swim Running Cycling",https://m.media-amazon.com/images/I/61kR5nPB7QL.jpg,1,5.5,LPNWE179636943,JL189096,2023-11-08
7,B09YH8ZK5N,,"Smart Watch for Men, Loddery Fitness Tracker with 24/7 Heart Rate, Blood Oxygen, Sleep Monitor, Stress Monitor, 1.3"" Touch Screen 5ATM Waterproof Smartwatch, Step Counter Watch for iOS Android",https://m.media-amazon.com/images/I/61d6RWCS6DL.jpg,1,5.25,LPNWE185858687,JL189096,2023-11-08
8,B0986PM7X1,,"DEKSMO Wireless Power Bank 10000mAh Fast Charging,Wireless Magnetic Portable Charger USB C PD 22.5W, 20W Mini Slim Phones Battery Pack for iPhone 13/12/11/10 Pro Max/Mag-Safe/Samsung",https://m.media-amazon.com/images/I/614r+fn2M2L.jpg,1,5.01,LPNSC112419613,JL189096,2023-11-08
9,B0B2JY9THB,,"ATUVOS Smart Bluetooth Item Finder 2 Pack, Compatible with Apple Find My (iOS Only), Key Finder, Tracker Locator for Luggage Suitcase, Wallets, Bag, Replaceable Battery, IP67 Waterproof",https://m.media-amazon.com/images/I/5125kjbY45L.jpg,1,3.89,LPNWE196295981,JL189096,2023-11-08
10,B09YH8ZK5N,,"Smart Watch for Men, Loddery Fitness Tracker with 24/7 Heart Rate, Blood Oxygen, Sleep Monitor, Stress Monitor, 1.3"" Touch Screen 5ATM Waterproof Smartwatch, Step Counter Watch for iOS Android",https://m.media-amazon.com/images/I/61d6RWCS6DL.jpg,1,3.75,LPNWE185390427,JL189096,2023-11-08
11,B0B8SHN122,798610729823.0,VEDINDUST USB 3.0 Switch Selector 2 In 4 Out USB Sharing Switch for 2 Computer Sharing 4 USB Devices USB KVM Switcher Box for Mouse Keyboard Scanner Printer with 2 Pcs USB 3.0 A-A cable.,https://m.media-amazon.com/images/I/61aLMmof0QL.jpg,1,3.77,LPNWE174551995,JL189096,2023-11-08
12,B07SC4HWN7,1138565000063.0,"VONETTI Alpha Shield Grande- Premium RFID Signal Blocker Box - Smart Car Key Faraday Signal Protector, Keyless Go RFID Blocking Case, Crypto Wallet Safe Box, Signal Blocker Faraday Tin (Black)",https://m.media-amazon.com/images/I/61q7yc-e5kL.jpg,1,2.5,LPNWE165084246,JL189096,2023-11-08
13,B07SC4HWN7,1138565000063.0,"VONETTI Alpha Shield Grande- Premium RFID Signal Blocker Box - Smart Car Key Faraday Signal Protector, Keyless Go RFID Blocking Case, Crypto Wallet Safe Box, Signal Blocker Faraday Tin (Black)",https://m.media-amazon.com/images/I/61q7yc-e5kL.jpg,1,3.1,LPNWE178845101,JL189096,2023-11-08
14,B0B8SHN122,798610729823.0,VEDINDUST USB 3.0 Switch Selector 2 In 4 Out USB Sharing Switch for 2 Computer Sharing 4 USB Devices USB KVM Switcher Box for Mouse Keyboard Scanner Printer with 2 Pcs USB 3.0 A-A cable.,https://m.media-amazon.com/images/I/61aLMmof0QL.jpg,1,1.0,LPNWE143446963,JL189096,2023-11-08
15,B0BWXMLR8Y,,"imuto Portable Charger, 65W Fast Charging Power Bank 27000mAh, USB C Power Delivery Battery Pack, 3-Port Powerbank for Laptop Tablet iPhone 14 13 12 Pro Max Samsung S22 Xiaomi Airpods Steam Deck",https://m.media-amazon.com/images/I/61LoToZeWnL.jpg,1,6.15,LPNWE196833484,JL189096,2023-11-08
16,B0986PM7X1,,"DEKSMO Wireless Power Bank 10000mAh Fast Charging,Wireless Magnetic Portable Charger USB C PD 22.5W, 20W Mini Slim Phones Battery Pack for iPhone 13/12/11/10 Pro Max/Mag-Safe/Samsung",https://m.media-amazon.com/images/I/614r+fn2M2L.jpg,1,4.77,LPNWE165133373,JL189096,2023-11-08
17,B09BZ12MMS,,Sidaqi 2PCS PY21W BAU15S LED Bulbs Amber 46 LED 42W Built-in Load Resistor 1141 7507 Canbus LED Indicator Bulb Orange 12-24V for Car LED Front Rear Turn Signal Light Bulb,https://m.media-amazon.com/images/I/61JawDY6NBL.jpg,1,0.4,LPNWE104599943,JL189096,2023-11-08
18,B07NJBVTS3,7330132872231.0,"Sotyi-ltd Animal Crossing Pattern Home Decorative Throw Pillow Case Cushion Cover for Gift Home Couch Bed Car 18"" x18""",https://m.media-amazon.com/images/I/71y+qKIV0NL.jpg,5,0.7,spSFK31Rdn4,JL189096,2023-11-08
19,B07XHKV26Y,23846795169.0,TopYYing Throw Pillow Cover Case for Bedroom Couch Sofa Home Decor Vintage How I Met Your Mother. Pattern Square 18x18 Inches,https://m.media-amazon.com/images/I/61rqz-pdJAL.jpg,1,0.7,spSFK31Rdn4,JL189096,2023-11-08
20,B0BZCKSZQ2,,"IFECCO Bone Conduction Headphones Bluetooth 5.3 - IP68 Waterproof Swimming Sport Wireless Headphones,Open Ear Headphones with Mic Built-in 32G Mp3 Player for Swim Running Cycling",https://m.media-amazon.com/images/I/61kR5nPB7QL.jpg,1,5.35,LPNWE190035544,JL189096,2023-11-08
21,B0986PM7X1,,"DEKSMO Wireless Power Bank 10000mAh Fast Charging,Wireless Magnetic Portable Charger USB C PD 22.5W, 20W Mini Slim Phones Battery Pack for iPhone 13/12/11/10 Pro Max/Mag-Safe/Samsung",https://m.media-amazon.com/images/I/614r+fn2M2L.jpg,1,4.88,LPNWE127948387,JL189096,2023-11-08
22,B0986PM7X1,,"DEKSMO Wireless Power Bank 10000mAh Fast Charging,Wireless Magnetic Portable Charger USB C PD 22.5W, 20W Mini Slim Phones Battery Pack for iPhone 13/12/11/10 Pro Max/Mag-Safe/Samsung",https://m.media-amazon.com/images/I/614r+fn2M2L.jpg,1,4.9,LPNWE167213922,JL189096,2023-11-08
23,B0C5DZWPJY,795847386850.0,"DEKSMO Magnetic Power Bank for iPhone,Wireless Portable Charger Fast Charging USB C PD 22.5W, 20W Slim Laptop Phones Battery Pack 10000mAh (Black)",https://m.media-amazon.com/images/I/61Vg5hlFPoL.jpg,1,4.6,LPNWE182823070,JL189096,2023-11-08
24,B0BXWWC2D1,,VEDINDUST DisplayPort Switch 8K Bi-Directional DisplayPort Splitter 2 in 1 Out/1 in 2 Out Display Port Switcher Supports 8K@60Hz 4K@120Hz for PC Laptop Monitor Projector TV,https://m.media-amazon.com/images/I/61O8blzcqIL.jpg,1,0.95,LPNWE187407944,JL189096,2023-11-08
25,B0B31CLWYZ,601549453458.0,"Palifel Waterproof Bluetooth Speaker, P1 Wireless Outdoor 20W Portable Speakers with Deep Bass and Loud Sound, Bluetooth 5.3, IPX6 Waterproof, 20H Playtime, True Wireless Stereo Pairing, Built in mic",https://m.media-amazon.com/images/I/61n4pwAIntL.jpg,1,2.65,LPNWE133817550,JL189096,2023-11-08
